playerID,URL,nameShort,nameLong,position,positionSort,minutes,ortg,usg,fg,pt3,ft,stl,turnovers,oreb,dreb,ast,blk,personalFouls,technicalFouls,ejected,points,fg_made,fg_attempted,fg_missed,pt3_made,pt3_attempted,pt3_missed,ft_made,ft_attempted,ft_missed
5722,/basketball/player/peyton-watson-5722,P. Watson,Peyton Watson,F,0,45,65.9,11.6,	3-9,	0-3,	1-2,0,1,0,3,0,4,3,0,0,7,3.0,9.0,6.0,0.0,3.0,3.0,1.0,2.0,1.0
3612,/basketball/player/nikola-jokic-3612,N. Jokic,Nikola Jokic,C,1,53,147.7,39.0,	18-29,	6-11,	19-24,2,4,2,8,10,0,5,0,0,61,18.0,29.0,11.0,6.0,11.0,5.0,19.0,24.0,5.0
5710,/basketball/player/christian-braun-5710,C. Braun,Christian Braun,G,2,53,125.9,15.0,	8-14,	1-6,	1-1,3,2,4,8,4,0,1,0,0,18,8.0,14.0,6.0,1.0,6.0,5.0,1.0,1.0,0.0
5918,/basketball/player/jalen-pickett-5918,J. Pickett,Jalen Pickett,G,2,32,168.9,9.1,	4-6,	1-3,	0-0,0,0,1,3,5,0,1,0,0,9,4.0,6.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0
2932,/basketball/player/russell-westbrook-2932,R. Westbrook,Russell Westbrook,G,3,38,82.7,24.0,	4-11,	0-3,	4-7,1,5,0,6,7,2,5,0,0,12,4.0,11.0,7.0,0.0,3.0,3.0,4.0,7.0,3.0
5123,/basketball/player/zeke-nnaji-5123,Z. Nnaji,Zeke Nnaji,C,3,11,-,-,	0-0,	0-0,	0-0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2929,/basketball/player/deandre-jordan-2929,D. Jordan,DeAndre Jordan,C,3,5,-,-,	1-2,	0-0,	0-0,0,2,0,2,1,0,2,0,0,2,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6002,/basketball/player/hunter-tyson-6002,H. Tyson,Hunter Tyson,F,3,5,-,-,	0-0,	0-0,	0-0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,Total,Game Total,-,4,"<span style=""font-weight:bold;"">290</span>",-,-,"	<span style=""font-weight:bold;"">47-86</span>","	<span style=""font-weight:bold;"">12-34</span>","	<span style=""font-weight:bold;"">33-44</span>","<span style=""font-weight:bold;"">7</span>","<span style=""font-weight:bold;"">16</span>","<span style=""font-weight:bold;"">8</span>","<span style=""font-weight:bold;"">37</span>","<span style=""font-weight:bold;"">33</span>","<span style=""font-weight:bold;"">7</span>","<span style=""font-weight:bold;"">22</span>",-,-,"<span style=""font-weight:bold;"">139</span>",47.0,86.0,39.0,12.0,34.0,22.0,33.0,44.0,11.0
0,,,,,4,,,,"	<span style=""font-weight:bold;"">54.7%</span>","	<span style=""font-weight:bold;"">35.3%</span>","	<span style=""font-weight:bold;"">75.0%</span>","<span style=""font-weight:bold;"">6.1%</span>","<span style=""font-weight:bold;"">14.2%</span>","<span style=""font-weight:bold;"">20.5%</span>","<span style=""font-weight:bold;"">63.8%</span>","<span style=""font-weight:bold;"">70.2%</span>","<span style=""font-weight:bold;"">11.5%</span>",,,,"<span style=""font-weight:bold;"">1.23</span>",,,,,,,,,
